prioridade,tempo,nome
169374,453,steak-and-ale-pie-524
59841,744,poitin-856
118809,464,fish-and-chips-283
244198,769,fish-and-chips-767
225950,579,bubble-and-squeak-18
162487,663,steak-and-ale-pie-198
156379,674,ploughman's-lunch-260
133739,662,ploughman's-lunch-810
282843,138,cottage-pie-290
111703,408,bubble-and-squeak-453
204809,248,poitin-216
48098,919,ploughman's-lunch-165
159361,412,bubble-and-squeak-705
188523,833,cottage-pie-79
69758,411,ploughman's-lunch-168
29500,706,ploughman's-lunch-403
176780,469,fish-and-chips-484
79096,855,fish-and-chips-649
197431,564,ploughman's-lunch-168
27511,61,fish-and-chips-683
127362,713,fish-and-chips-986
69588,670,poitin-848
184260,76,poitin-302
290990,118,ploughman's-lunch-961
179748,678,poitin-452
118537,595,poitin-361
297572,433,fish-and-chips-972
135353,966,bubble-and-squeak-478
133283,95,cottage-pie-32
213360,796,bubble-and-squeak-837
199924,122,cottage-pie-882
139437,790,poitin-421
186461,340,steak-and-ale-pie-807
208689,952,cottage-pie-371
238824,418,ploughman's-lunch-106
130357,187,steak-and-ale-pie-742
126741,482,steak-and-ale-pie-599
123953,307,bubble-and-squeak-875
184149,595,cottage-pie-2
268833,415,fish-and-chips-961
235757,729,steak-and-ale-pie-747
149235,708,steak-and-ale-pie-866
119918,447,bubble-and-squeak-813
224883,358,bubble-and-squeak-587
180009,59,bubble-and-squeak-1
203096,585,fish-and-chips-795
157748,837,ploughman's-lunch-793
36556,207,ploughman's-lunch-225
188322,390,poitin-977
253616,740,steak-and-ale-pie-802
195381,281,cottage-pie-479
118923,565,steak-and-ale-pie-786
92309,417,ploughman's-lunch-344
39142,237,poitin-159
198653,351,cottage-pie-972
251954,471,poitin-555
218295,829,fish-and-chips-639
199088,434,ploughman's-lunch-448
94871,537,bubble-and-squeak-958
55873,873,steak-and-ale-pie-566
199315,917,poitin-949
181567,428,cottage-pie-254
199917,304,ploughman's-lunch-242
120563,305,steak-and-ale-pie-665
289989,896,bubble-and-squeak-74
13925,707,bubble-and-squeak-725
240933,186,fish-and-chips-220
246980,912,ploughman's-lunch-712
115863,293,poitin-281
126469,258,fish-and-chips-946
163344,957,fish-and-chips-277
35646,683,bubble-and-squeak-250
232488,23,cottage-pie-15
263747,258,bubble-and-squeak-913
263828,188,fish-and-chips-455
112371,144,bubble-and-squeak-901
89398,726,cottage-pie-217
129392,25,bubble-and-squeak-479
204067,752,bubble-and-squeak-106
84186,726,steak-and-ale-pie-609
159260,193,bubble-and-squeak-233
169806,946,cottage-pie-804
41159,96,fish-and-chips-278
46615,490,bubble-and-squeak-203
241789,440,bubble-and-squeak-925
217064,19,poitin-512
48036,623,poitin-959
39592,740,cottage-pie-11
42713,790,ploughman's-lunch-316
43858,213,steak-and-ale-pie-411
201465,657,ploughman's-lunch-594
203749,250,bubble-and-squeak-685
119752,962,bubble-and-squeak-343
177211,698,ploughman's-lunch-66
163520,700,cottage-pie-716
20603,106,bubble-and-squeak-74
20644,35,poitin-400
295716,827,poitin-769
50343,811,fish-and-chips-221
18783,80,cottage-pie-22
287306,925,fish-and-chips-559
59865,59,ploughman's-lunch-229
89699,166,poitin-358
68772,180,cottage-pie-219
215917,682,poitin-543
82703,619,poitin-416
119649,458,fish-and-chips-617
239180,951,ploughman's-lunch-399
61597,382,steak-and-ale-pie-69
185995,651,fish-and-chips-367
295369,707,poitin-44
67892,340,steak-and-ale-pie-988
32384,980,fish-and-chips-481
28628,231,ploughman's-lunch-565
211616,998,cottage-pie-714
191975,375,bubble-and-squeak-323
289474,180,bubble-and-squeak-773
266444,499,cottage-pie-246
59625,546,cottage-pie-307
282445,708,steak-and-ale-pie-362
214799,656,fish-and-chips-554
39404,552,ploughman's-lunch-325
216061,35,steak-and-ale-pie-596
251899,875,cottage-pie-326
97071,367,ploughman's-lunch-692
44790,973,cottage-pie-374
15347,174,ploughman's-lunch-891
93434,299,fish-and-chips-819
268653,531,fish-and-chips-213
171882,757,steak-and-ale-pie-703
216789,392,bubble-and-squeak-874
52481,144,steak-and-ale-pie-31
152638,720,bubble-and-squeak-413
248399,668,ploughman's-lunch-659
169087,294,poitin-988
109668,5,ploughman's-lunch-686
64028,944,steak-and-ale-pie-178
137712,935,bubble-and-squeak-20
75236,145,steak-and-ale-pie-677
241763,979,steak-and-ale-pie-6
269041,987,cottage-pie-106
170836,552,fish-and-chips-269
166317,311,bubble-and-squeak-485
116471,781,fish-and-chips-347
258002,252,poitin-46
112545,589,ploughman's-lunch-491
230007,387,bubble-and-squeak-404
50725,840,ploughman's-lunch-666
264181,922,ploughman's-lunch-591
15182,866,fish-and-chips-875
161978,16,poitin-886
111771,426,bubble-and-squeak-397
205892,59,cottage-pie-486
274390,891,cottage-pie-539
207053,447,ploughman's-lunch-658
101205,780,ploughman's-lunch-479
104868,257,steak-and-ale-pie-950
134144,526,poitin-933
182406,156,bubble-and-squeak-85
213671,706,cottage-pie-524
94284,18,steak-and-ale-pie-917
282500,264,ploughman's-lunch-913
77088,130,steak-and-ale-pie-731
191955,812,ploughman's-lunch-525
223904,927,steak-and-ale-pie-587
133535,439,poitin-234
71782,541,poitin-535
138005,705,fish-and-chips-282
153535,654,poitin-752
172268,340,steak-and-ale-pie-247
141542,288,steak-and-ale-pie-511
8334,347,poitin-988
99010,137,poitin-354
153252,185,steak-and-ale-pie-8
212332,88,bubble-and-squeak-35
99155,257,cottage-pie-512
281061,240,steak-and-ale-pie-10
241404,430,bubble-and-squeak-635
51065,468,ploughman's-lunch-620
37768,899,poitin-309
128049,880,bubble-and-squeak-222
58944,682,steak-and-ale-pie-558
118068,5,cottage-pie-392
240621,26,steak-and-ale-pie-298
255409,231,fish-and-chips-732
55579,33,poitin-429
57219,106,fish-and-chips-349
239616,497,ploughman's-lunch-109
171060,834,ploughman's-lunch-961
105708,317,fish-and-chips-718
234559,905,fish-and-chips-936
186099,110,bubble-and-squeak-47
171602,904,cottage-pie-405
274117,733,steak-and-ale-pie-643
168512,850,bubble-and-squeak-564
3876,981,poitin-496
162515,791,bubble-and-squeak-361
102995,537,cottage-pie-636
198264,480,fish-and-chips-547
268264,289,steak-and-ale-pie-29
30240,742,fish-and-chips-198
123920,118,steak-and-ale-pie-461
282705,421,bubble-and-squeak-439
71597,242,cottage-pie-170
226341,193,cottage-pie-975
48435,167,poitin-154
100266,119,steak-and-ale-pie-647
148512,366,poitin-754
11681,621,bubble-and-squeak-680
2158,641,bubble-and-squeak-538
111314,907,fish-and-chips-594
150244,147,poitin-165
192181,151,fish-and-chips-451
169111,628,poitin-241
297160,879,cottage-pie-506
298562,157,cottage-pie-279
138724,270,bubble-and-squeak-302
173738,715,steak-and-ale-pie-867
284453,187,fish-and-chips-360
288030,197,ploughman's-lunch-399
56546,435,bubble-and-squeak-23
275758,463,cottage-pie-877
218895,590,bubble-and-squeak-662
189827,774,fish-and-chips-282
290899,848,steak-and-ale-pie-73
47893,311,ploughman's-lunch-610
150572,199,steak-and-ale-pie-935
90025,957,ploughman's-lunch-475
13546,63,poitin-233
290281,657,fish-and-chips-815
173271,119,ploughman's-lunch-413
119402,111,cottage-pie-896
113211,199,bubble-and-squeak-497
96586,181,fish-and-chips-935
94700,685,cottage-pie-573
248276,825,fish-and-chips-628
234435,413,cottage-pie-425
159866,573,fish-and-chips-898
171144,799,poitin-662
151320,366,fish-and-chips-602
141155,338,poitin-864
215784,933,cottage-pie-51
67881,451,cottage-pie-609
273152,892,ploughman's-lunch-56
220488,587,ploughman's-lunch-719
241051,971,poitin-467
184888,818,fish-and-chips-868
24066,66,steak-and-ale-pie-691
241665,209,ploughman's-lunch-918
194404,622,bubble-and-squeak-137
159089,268,cottage-pie-41
260641,730,cottage-pie-639
91466,167,cottage-pie-592
26440,126,steak-and-ale-pie-781
84848,548,bubble-and-squeak-170
42813,135,poitin-178
256287,953,ploughman's-lunch-353
124695,779,ploughman's-lunch-546
280368,37,cottage-pie-633
187054,622,bubble-and-squeak-37
147535,282,poitin-659
70786,847,poitin-530
113606,758,fish-and-chips-474
152018,682,ploughman's-lunch-54
79215,539,ploughman's-lunch-459
236249,143,poitin-813
156107,159,bubble-and-squeak-385
269078,178,bubble-and-squeak-314
209098,368,ploughman's-lunch-233
79695,728,poitin-846
271654,943,ploughman's-lunch-695
117854,445,fish-and-chips-328
282413,578,fish-and-chips-554
242868,706,steak-and-ale-pie-89
275068,578,steak-and-ale-pie-298
109007,812,poitin-391
221531,641,poitin-578
103157,216,bubble-and-squeak-150
266321,404,ploughman's-lunch-716
12556,957,ploughman's-lunch-833
141615,862,poitin-854
209211,510,poitin-57
42444,352,bubble-and-squeak-954
173623,550,bubble-and-squeak-942
76678,151,cottage-pie-949
66430,262,steak-and-ale-pie-5
134623,447,bubble-and-squeak-174
62635,99,poitin-188
244757,993,bubble-and-squeak-132
233693,674,bubble-and-squeak-44
291071,53,poitin-251
176616,964,poitin-502
209444,664,fish-and-chips-674
4446,812,steak-and-ale-pie-177
45143,887,ploughman's-lunch-755
54369,632,cottage-pie-598
296686,157,cottage-pie-982
206195,887,bubble-and-squeak-660
280942,708,ploughman's-lunch-241
49568,5,bubble-and-squeak-63
282962,236,fish-and-chips-21
8163,786,fish-and-chips-467
235564,149,bubble-and-squeak-519
263763,240,ploughman's-lunch-864
32367,217,bubble-and-squeak-726
25027,121,steak-and-ale-pie-531
200301,670,poitin-759
265539,954,steak-and-ale-pie-841
215278,843,cottage-pie-796
187349,214,fish-and-chips-851
295735,760,steak-and-ale-pie-314
281069,744,poitin-306
293446,602,poitin-163
163584,449,fish-and-chips-897
110940,603,bubble-and-squeak-981
8887,349,steak-and-ale-pie-332
168552,249,bubble-and-squeak-295
273502,810,cottage-pie-111
65035,968,cottage-pie-723
26883,290,fish-and-chips-968
88107,4,cottage-pie-498
115094,493,ploughman's-lunch-19
87930,384,bubble-and-squeak-980
249286,861,steak-and-ale-pie-446
197285,514,poitin-161
120929,482,fish-and-chips-562
184295,937,poitin-638
155855,761,bubble-and-squeak-367
215290,290,fish-and-chips-754
36706,407,poitin-922
24323,111,steak-and-ale-pie-643
9721,268,ploughman's-lunch-317
122645,53,fish-and-chips-275
54815,983,bubble-and-squeak-333
257007,634,ploughman's-lunch-162
66806,503,ploughman's-lunch-551
137079,943,ploughman's-lunch-776
266296,661,fish-and-chips-797
179082,262,steak-and-ale-pie-295
247402,314,bubble-and-squeak-15
31372,151,ploughman's-lunch-155
